hotel_name,url,locality,reviews,tripadvisor_rating,price_per_night,booking_provider,no_of_deals,hotel_features
The Montague on The Gardens,http://www.tripadvisor.com/Hotel_Review-g186338-d192036-Reviews-The_Montague_on_The_Gardens-London_England.html,"London, England, United Kingdom",4817 ,5.0,$228,Montague Hotel,13,"Free Wifi,Restaurant,Visit hotel website"
Travelodge London City hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html,"London, England, United Kingdom",804 ,4.5,$64,Travelodge,0,"Restaurant,Bar/Lounge"
Park Plaza Westminster Bridge London,http://www.tripadvisor.com/Hotel_Review-g186338-d1657415-Reviews-Park_Plaza_Westminster_Bridge_London-London_England.html,"London, England, United Kingdom",20487 ,4.5,$174,Booking.com,16,"Pool,Restaurant,Visit hotel website"
Park Grand London Kensington,http://www.tripadvisor.com/Hotel_Review-g186338-d193143-Reviews-Park_Grand_London_Kensington-London_England.html,"London, England, United Kingdom",4137 ,4.5,$107,Booking.com,14,"Free Wifi,Restaurant,Visit hotel website"
The Grosvenor Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d218409-Reviews-The_Grosvenor_Hotel-London_England.html,"London, England, United Kingdom",5535 ,4.0,$174,Official Hotel,15,"Free Wifi,Restaurant,Visit hotel website"
The Tower Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d193097-Reviews-The_Tower_Hotel-London_England.html,"London, England, United Kingdom",9146 ,4.0,$107,Booking.com,16,"Free Wifi,Restaurant,Visit hotel website"
Holiday Inn Express London-Limehouse,http://www.tripadvisor.com/Hotel_Review-g186338-d289182-Reviews-Holiday_Inn_Express_London_Limehouse-London_England.html,"London, England, United Kingdom",1096 ,4.0,$65,HIExpress.com,14,"Free Wifi,Breakfast included,Visit hotel website"
Park Grand Paddington Court,http://www.tripadvisor.com/Hotel_Review-g186338-d193062-Reviews-Park_Grand_Paddington_Court-London_England.html,"London, England, United Kingdom",2209 ,4.5,$95,Booking.com,17,"Free Wifi,Restaurant,Visit hotel website"
London House Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d243430-Reviews-London_House_Hotel-London_England.html,"London, England, United Kingdom",2674 ,4.0,$79,Expedia.com,14,"Free Wifi,Visit hotel website"
Park Grand London Hyde Park,http://www.tripadvisor.com/Hotel_Review-g186338-d3164384-Reviews-Park_Grand_London_Hyde_Park-London_England.html,"London, England, United Kingdom",2521 ,4.0,$113,Booking.com,16,"Free Wifi,Restaurant,Visit hotel website"
The Z Hotel Victoria,http://www.tripadvisor.com/Hotel_Review-g186338-d3160924-Reviews-The_Z_Hotel_Victoria-London_England.html,"London, England, United Kingdom",1899 ,4.0,$118,Booking.com,6,"Free Wifi,Bar/Lounge"
"Point A Hotel, London Kings Cross St Pancras",http://www.tripadvisor.com/Hotel_Review-g186338-d3240599-Reviews-Point_A_Hotel_London_Kings_Cross_St_Pancras-London_England.html,"London, England, United Kingdom",6023 ,4.0,$92,Booking.com,17,"Free Wifi,Visit hotel website"
Park Plaza London Riverbank,http://www.tripadvisor.com/Hotel_Review-g186338-d548136-Reviews-Park_Plaza_London_Riverbank-London_England.html,"London, England, United Kingdom",6857 ,4.0,$135,Booking.com,17,"Free Wifi,Restaurant,Visit hotel website"
